epoch,train_loss,train_acc,test_loss,test_acc
1,1.695791449356079,0.38714,1.3806240297317505,0.4969
2,1.3543452367782594,0.5135,1.1533297130584717,0.5855
3,1.1685260663604737,0.5822,1.0635037866592407,0.6349
4,1.0539089888763429,0.62546,0.9856328609466553,0.6605
5,0.9659729993057251,0.65914,0.9023736903190612,0.6853
6,0.900036052570343,0.68252,0.8854177248954773,0.6946
7,0.8565286732673645,0.69728,0.8125845149993897,0.7178
8,0.8154848598098755,0.71388,0.8140556890487671,0.7147
9,0.7809246904945374,0.72394,0.8066595572471619,0.7185
10,0.7454229826164246,0.73672,0.7722748736381531,0.7346
