epoch,train_loss,train_acc,test_loss,test_acc
1,0.35712827512025835,0.87796,0.25824931960105896,0.9118
2,0.21900204332590104,0.92448,0.2400605269432068,0.9168
3,0.1825540861082077,0.93628,0.2219308223247528,0.9242
4,0.16315622504234314,0.94276,0.22249174466133118,0.9233
5,0.15224232127070428,0.94714,0.25369527106285095,0.9157
6,0.13660150101304055,0.9526,0.21500149190425874,0.9291
7,0.13231712507657706,0.95368,0.218470094704628,0.9304
8,0.12244973674535752,0.9584,0.2661510283470154,0.9148
9,0.11761071668624878,0.95972,0.21162948721647262,0.9322
10,0.10503316389739513,0.96378,0.2551328320503235,0.9195
