model,corruption,severity,test_loss,test_acc
cnn,gaussian_noise,1,0.6614910930156708,0.7747
cnn,gaussian_noise,2,0.7257329044818878,0.7557
cnn,gaussian_noise,3,0.8198440705299378,0.7229
cnn,gaussian_noise,4,0.882036911392212,0.7053
cnn,gaussian_noise,5,0.9626885859489441,0.6796
cnn,shot_noise,1,0.6435867328643798,0.7825
cnn,shot_noise,2,0.6657555505275726,0.7736
cnn,shot_noise,3,0.7501559153556824,0.7499
cnn,shot_noise,4,0.802370555973053,0.7289
cnn,shot_noise,5,0.9148340263366699,0.6949
cnn,motion_blur,1,0.7375427455902099,0.7489
cnn,motion_blur,2,0.9044659944534301,0.6955
cnn,motion_blur,3,1.0781880392074585,0.647
cnn,motion_blur,4,1.0800655982971192,0.6477
cnn,motion_blur,5,1.2601962785720826,0.5944
cnn,brightness,1,0.6396138453483582,0.7832
cnn,brightness,2,0.6576784732818604,0.7792
cnn,brightness,3,0.6884847665786743,0.7707
cnn,brightness,4,0.7335649489402771,0.7566
cnn,brightness,5,0.8764021609306335,0.7075
cnn,fog,1,0.645391471195221,0.7797
cnn,fog,2,0.7766884051322936,0.7368
cnn,fog,3,0.9852040664672852,0.6728
cnn,fog,4,1.256232964706421,0.5993
cnn,fog,5,1.9019999662399292,0.4424
vit,gaussian_noise,1,0.7418327835083007,0.796
vit,gaussian_noise,2,1.3904685535430907,0.6299
vit,gaussian_noise,3,2.1118774826049806,0.4363
vit,gaussian_noise,4,2.45932212600708,0.3481
vit,gaussian_noise,5,2.722451350402832,0.2854
vit,shot_noise,1,0.48837279081344603,0.8626
vit,shot_noise,2,0.8135298990249634,0.7766
vit,shot_noise,3,1.588212391281128,0.5828
vit,shot_noise,4,1.9099105278015136,0.4963
vit,shot_noise,5,2.4173506870269774,0.3649
vit,motion_blur,1,0.2888397317647934,0.9119
vit,motion_blur,2,0.4187998976707458,0.8758
vit,motion_blur,3,0.6326480996131897,0.8234
vit,motion_blur,4,0.6311141133308411,0.8229
vit,motion_blur,5,0.8754108840942383,0.77
vit,brightness,1,0.21600996047258378,0.9369
vit,brightness,2,0.24048751071691513,0.9285
vit,brightness,3,0.2845688383102417,0.9148
vit,brightness,4,0.3458932101726532,0.9
vit,brightness,5,0.5370362350463868,0.8531
vit,fog,1,0.21161786921024323,0.9377
vit,fog,2,0.28709026684761046,0.9147
vit,fog,3,0.4179855026483536,0.8798
vit,fog,4,0.6572705179691315,0.8217
vit,fog,5,1.6005831455230712,0.632
